url;owner;committer;decision;submission date;decision date
https://github.com/apache/drill/pull/424;adeneche;<User (adeneche)>;merged;2016-03-10 10:14:44;2016-03-16 17:11:13
https://github.com/apache/drill/pull/423;hsuanyi;<User (hsuanyi)>;merged;2016-03-10 02:07:33;2016-03-21 05:02:28
https://github.com/apache/drill/pull/422;adeneche;<User (adeneche)>;merged;2016-03-09 15:05:49;2016-03-16 17:11:53
https://github.com/apache/drill/pull/421;adityakishore;<User (adityakishore)>;merged;2016-03-09 12:48:41;2016-03-09 18:34:35
https://github.com/apache/drill/pull/420;amansinha100;<User (amansinha100)>;merged;2016-03-09 07:44:57;2016-03-14 20:46:53
https://github.com/apache/drill/pull/419;jaltekruse;<User (jaltekruse)>;merged;2016-03-09 01:35:54;2016-03-09 18:48:38
https://github.com/apache/drill/pull/417;pwong-mapr;<User (pwong-mapr)>;merged;2016-03-09 00:18:39;2016-03-09 00:31:28
https://github.com/apache/drill/pull/416;jinfengni;<User (jinfengni)>;merged;2016-03-09 00:16:33;2016-03-09 01:15:52
https://github.com/apache/drill/pull/415;amansinha100;<User (amansinha100)>;merged;2016-03-08 17:28:56;2016-03-08 18:26:46
https://github.com/apache/drill/pull/414;adeneche;<User (adeneche)>;merged;2016-03-08 17:19:23;2016-03-09 08:15:27
https://github.com/apache/drill/pull/413;pwong-mapr;<User (pwong-mapr)>;merged;2016-03-08 02:24:19;2016-03-09 00:16:33
https://github.com/apache/drill/pull/412;StevenMPhillips;<User (StevenMPhillips)>;merged;2016-03-08 00:13:07;2016-03-08 03:57:35
https://github.com/apache/drill/pull/410;adeneche;<User (adeneche)>;merged;2016-03-07 15:24:41;2016-03-07 19:03:33
https://github.com/apache/drill/pull/409;adeneche;<User (adeneche)>;merged;2016-03-07 09:52:05;2016-03-08 09:10:05
https://github.com/apache/drill/pull/408;chunhui-shi;<User (chunhui-shi)>;merged;2016-03-07 06:22:41;2016-03-15 18:37:17
https://github.com/apache/drill/pull/407;hsuanyi;<User (hsuanyi)>;merged;2016-03-04 23:28:48;2016-03-13 04:52:31
https://github.com/apache/drill/pull/406;jacques-n;<User (jacques-n)>;merged;2016-03-04 21:28:45;2016-03-09 01:15:52
https://github.com/apache/drill/pull/405;sudheeshkatkam;<User (sudheeshkatkam)>;merged;2016-03-03 21:31:48;2016-03-22 23:33:33
https://github.com/apache/drill/pull/404;laurentgo;<User (laurentgo)>;merged;2016-03-03 01:52:01;2016-03-28 20:54:22
https://github.com/apache/drill/pull/403;vkorukanti;<User (vkorukanti)>;merged;2016-03-02 23:10:09;2016-04-13 20:53:42
https://github.com/apache/drill/pull/402;jaltekruse;<User (jaltekruse)>;merged;2016-03-02 18:43:34;2016-03-08 03:57:35
https://github.com/apache/drill/pull/399;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-03-01 08:14:40;2016-03-16 15:51:06
https://github.com/apache/drill/pull/396;parthchandra;<User (parthchandra)>;merged;2016-02-29 03:24:43;2016-03-08 16:53:51
https://github.com/apache/drill/pull/395;laurentgo;<User (laurentgo)>;merged;2016-02-27 01:59:40;2016-10-12 22:44:37
https://github.com/apache/drill/pull/394;jaltekruse;<User (jaltekruse)>;merged;2016-02-26 23:57:41;2016-04-20 16:09:14
https://github.com/apache/drill/pull/393;jaltekruse;<User (jaltekruse)>;merged;2016-02-26 23:35:31;2016-03-09 18:48:38
https://github.com/apache/drill/pull/392;adeneche;<User (adeneche)>;merged;2016-02-26 21:50:24;2016-03-04 23:40:25
https://github.com/apache/drill/pull/391;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-02-26 08:43:05;2016-02-26 21:31:59
https://github.com/apache/drill/pull/389;laurentgo;<User (laurentgo)>;merged;2016-02-23 22:29:08;2016-03-08 03:57:35
https://github.com/apache/drill/pull/388;adeneche;<User (adeneche)>;merged;2016-02-23 17:22:14;2016-03-08 05:54:23
https://github.com/apache/drill/pull/387;adeneche;<User (adeneche)>;merged;2016-02-22 20:48:46;2016-02-23 00:44:31
https://github.com/apache/drill/pull/384;vdiravka;<User (vdiravka)>;merged;2016-02-19 10:35:59;2016-02-26 21:31:59
https://github.com/apache/drill/pull/382;arina-ielchiieva;<User (arina-ielchiieva)>;merged;2016-02-18 21:34:11;2016-03-03 09:15:01
https://github.com/apache/drill/pull/380;minji-kim;<User (minji-kim)>;merged;2016-02-18 06:35:34;2016-03-02 23:52:36
https://github.com/apache/drill/pull/379;jinfengni;<User (jinfengni)>;merged;2016-02-17 15:20:14;2016-04-20 18:03:53
https://github.com/apache/drill/pull/378;laurentgo;<User (laurentgo)>;merged;2016-02-17 00:50:54;2016-04-19 00:32:09
https://github.com/apache/drill/pull/377;hsuanyi;<User (hsuanyi)>;merged;2016-02-17 00:31:46;2016-03-21 05:02:53
https://github.com/apache/drill/pull/376;amansinha100;<User (amansinha100)>;merged;2016-02-14 17:30:35;2016-02-19 23:27:58
https://github.com/apache/drill/pull/375;jaltekruse;<User (jaltekruse)>;merged;2016-02-12 00:55:07;2016-03-02 23:52:36
https://github.com/apache/drill/pull/370;hsuanyi;<User (hsuanyi)>;merged;2016-02-09 21:39:17;2016-02-17 00:29:15
https://github.com/apache/drill/pull/369;parthchandra;<User (parthchandra)>;merged;2016-02-09 21:17:56;2016-02-09 22:24:40
https://github.com/apache/drill/pull/368;yufeldman;<User (yufeldman)>;merged;2016-02-08 02:10:09;2016-05-05 21:51:42
https://github.com/apache/drill/pull/366;sudheeshkatkam;<User (sudheeshkatkam)>;merged;2016-02-06 00:18:23;2016-02-06 01:07:01
https://github.com/apache/drill/pull/365;laurentgo;<User (laurentgo)>;merged;2016-02-05 23:15:23;2016-02-09 00:27:08
https://github.com/apache/drill/pull/363;laurentgo;<User (laurentgo)>;merged;2016-02-05 22:08:42;2016-02-09 00:27:08
https://github.com/apache/drill/pull/362;jacques-n;<User (jacques-n)>;merged;2016-02-05 18:46:39;2016-02-06 03:54:21
https://github.com/apache/drill/pull/361;jacques-n;<User (jacques-n)>;merged;2016-02-05 02:21:11;2016-02-05 15:01:14
https://github.com/apache/drill/pull/360;vkorukanti;<User (vkorukanti)>;merged;2016-02-04 21:52:36;2016-03-07 19:30:08
https://github.com/apache/drill/pull/359;vkorukanti;<User (vkorukanti)>;merged;2016-02-04 21:48:36;2016-02-09 00:27:08
https://github.com/apache/drill/pull/356;adeneche;<User (adeneche)>;merged;2016-02-04 00:29:20;2016-02-05 01:31:31
https://github.com/apache/drill/pull/355;vdiravka;<User (vdiravka)>;merged;2016-02-03 15:12:13;2016-02-03 15:12:16
https://github.com/apache/drill/pull/354;vdiravka;<User (vdiravka)>;merged;2016-02-03 15:11:21;2016-02-03 15:11:35
https://github.com/apache/drill/pull/351;laurentgo;<User (laurentgo)>;merged;2016-02-01 19:28:07;2016-02-09 00:27:09
https://github.com/apache/drill/pull/349;hsuanyi;<User (hsuanyi)>;merged;2016-01-29 23:59:20;2016-03-21 05:04:35
https://github.com/apache/drill/pull/348;vkorukanti;<User (vkorukanti)>;merged;2016-01-29 18:35:56;
https://github.com/apache/drill/pull/347;laurentgo;<User (laurentgo)>;merged;2016-01-29 18:12:27;2016-03-02 23:52:36
https://github.com/apache/drill/pull/346;parthchandra;<User (parthchandra)>;merged;2016-01-29 01:57:10;2016-01-29 05:10:11
https://github.com/apache/drill/pull/345;amansinha100;<User (amansinha100)>;merged;2016-01-29 01:18:27;2016-02-14 17:32:36
https://github.com/apache/drill/pull/344;jaltekruse;<User (jaltekruse)>;merged;2016-01-28 19:25:10;2016-01-28 22:33:45
https://github.com/apache/drill/pull/343;jaltekruse;<User (jaltekruse)>;merged;2016-01-28 18:09:30;2016-01-28 22:33:45
https://github.com/apache/drill/pull/342;jinfengni;<User (jinfengni)>;merged;2016-01-28 04:51:15;2016-10-03 22:03:37
https://github.com/apache/drill/pull/341;jaltekruse;<User (jaltekruse)>;merged;2016-01-27 18:56:05;2016-10-13 22:00:57
https://github.com/apache/drill/pull/340;adeneche;<User (adeneche)>;merged;2016-01-27 16:54:50;2016-02-22 19:31:30
https://github.com/apache/drill/pull/339;hsuanyi;<User (hsuanyi)>;merged;2016-01-27 08:22:47;2016-02-09 00:27:08
https://github.com/apache/drill/pull/337;adeneche;<User (adeneche)>;merged;2016-01-25 23:49:27;2016-01-27 16:55:53
https://github.com/apache/drill/pull/336;jacques-n;<User (jacques-n)>;merged;2016-01-24 18:00:23;2016-01-28 14:30:30
